Scenario ID,Tournament,Match Name,Map,Team A,Team A Score,Team B,Team B Score,Winner,Score Diff,Total Rounds,Cutoff Round
S001,Valorant Masters Santiago 2026,NRG vs Paper Rex,Pearl,Mega Minors,13,Paper Rex,8,Mega Minors,5,21,12
S002,Valorant Masters Santiago 2026,Nongshim RedForce vs Gentle Mates,Corrode,Nongshim RedForce,13,Gentle Mates,10,Nongshim RedForce,3,23,12
S003,Valorant Masters Santiago 2026,Paper Rex vs All Gamers,Corrode,Paper Rex,10,All Gamers,13,All Gamers,3,23,12
S004,Valorant Masters Santiago 2026,FURIA vs BBL Esports,Breeze,FURIA,13,BBL Esports,10,FURIA,3,23,12
S005,Valorant Masters Santiago 2026,Gentle Mates vs Team Liquid,Pearl,Gentle Mates,13,Team Liquid,11,Gentle Mates,2,24,12
S006,Valorant Masters Santiago 2026,EDward Gaming vs T1,Haven,EDward Gaming,10,T1,13,T1,3,23,12
S007,Valorant Masters Santiago 2026,NRG vs Paper Rex,Breeze,Mega Minors,9,Paper Rex,13,Paper Rex,4,22,12
S008,Valorant Masters Santiago 2026,Nongshim RedForce vs NRG,Bind,Nongshim RedForce,13,Mega Minors,9,Nongshim RedForce,4,22,12
S009,Valorant Masters Santiago 2026,G2 Esports vs T1,Haven,G2 Esports,16,T1,14,G2 Esports,2,30,12
S010,Valorant Masters Santiago 2026,Gentle Mates vs EDward Gaming,Haven,Gentle Mates,13,EDward Gaming,11,Gentle Mates,2,24,12
S011,Valorant Masters Santiago 2026,T1 vs Team Liquid,Split,T1,13,Team Liquid,15,Team Liquid,2,28,12
S012,Valorant Masters Santiago 2026,BBL Esports vs NRG,Split,BBL Esports,15,Mega Minors,17,Mega Minors,2,32,12
S013,Valorant Masters Santiago 2026,Paper Rex vs NRG,Split,Paper Rex,13,Mega Minors,10,Paper Rex,3,23,12
S014,Valorant Masters Santiago 2026,FURIA vs Paper Rex,Haven,FURIA,13,Paper Rex,9,FURIA,4,22,12
S015,Valorant Masters Santiago 2026,NRG vs Team Liquid,Breeze,Mega Minors,13,Team Liquid,11,Mega Minors,2,24,12
S016,Valorant Masters Santiago 2026,FURIA vs Paper Rex,Breeze,FURIA,4,Paper Rex,13,Paper Rex,9,17,12
S017,Valorant Masters Santiago 2026,All Gamers vs G2 Esports,Abyss,All Gamers,4,G2 Esports,13,G2 Esports,9,17,12
S018,Valorant Masters Santiago 2026,FURIA vs Paper Rex,Split,FURIA,7,Paper Rex,13,Paper Rex,6,20,12
S019,Valorant Masters Santiago 2026,Paper Rex vs All Gamers,Split,Paper Rex,13,All Gamers,4,Paper Rex,9,17,12
S020,Valorant Masters Santiago 2026,Gentle Mates vs EDward Gaming,Pearl,Gentle Mates,13,EDward Gaming,7,Gentle Mates,6,20,12
S021,Valorant Masters Santiago 2026,BBL Esports vs NRG,Abyss,BBL Esports,13,Mega Minors,6,BBL Esports,7,19,12
S022,Valorant Masters Santiago 2026,Gentle Mates vs All Gamers,Split,Gentle Mates,4,All Gamers,13,All Gamers,9,17,12
S023,Valorant Masters Santiago 2026,Nongshim RedForce vs G2 Esports,Corrode,Nongshim RedForce,13,G2 Esports,7,Nongshim RedForce,6,20,12
S024,Valorant Masters Santiago 2026,All Gamers vs G2 Esports,Split,All Gamers,6,G2 Esports,13,G2 Esports,7,19,12
S025,Valorant Masters Santiago 2026,NRG vs Paper Rex,Corrode,Mega Minors,6,Paper Rex,13,Paper Rex,7,19,12
S026,VCT 2026: Americas Stage 1,MIBR vs 100 Thieves,Fracture,MIBR,11,100 Thieves,13,100 Thieves,2,24,12
S027,VCT 2026: Americas Stage 1,G2 Esports vs NRG,Ascent,G2 Esports,13,Mega Minors,10,G2 Esports,3,23,12
S028,VCT 2026: Americas Stage 1,Sentinels vs KRÜ Esports,Lotus,Sentinels,8,KRÜ Esports,13,KRÜ Esports,5,21,12
S029,VCT 2026: Americas Stage 1,LEVIATÁN vs G2 Esports,Fracture,LEVIATÁN,12,G2 Esports,14,G2 Esports,2,26,12
S030,VCT 2026: Americas Stage 1,ENVY vs LOUD,Lotus,ENVY,13,LOUD,9,ENVY,4,22,12
S031,VCT 2026: Americas Stage 1,FURIA vs NRG,Haven,FURIA,8,Mega Minors,13,Mega Minors,5,21,12
S032,VCT 2026: Americas Stage 1,NRG vs KRÜ Esports,Lotus,Mega Minors,10,KRÜ Esports,13,KRÜ Esports,3,23,12
S033,VCT 2026: Americas Stage 1,FURIA vs Evil Geniuses,Lotus,FURIA,13,Evil Geniuses,10,FURIA,3,23,12
S034,VCT 2026: Americas Stage 1,Evil Geniuses vs Sentinels,Bind,Evil Geniuses,11,Sentinels,13,Sentinels,2,24,12
S035,VCT 2026: Americas Stage 1,LEVIATÁN vs G2 Esports,Ascent,LEVIATÁN,13,G2 Esports,9,LEVIATÁN,4,22,12
S036,VCT 2026: Americas Stage 1,LEVIATÁN vs MIBR,Breeze,LEVIATÁN,10,MIBR,13,MIBR,3,23,12
S037,VCT 2026: Americas Stage 1,Cloud9 vs ENVY,Split,Cloud9,13,ENVY,11,Cloud9,2,24,12
S038,VCT 2026: Americas Stage 1,KRÜ Esports vs NRG,Haven,KRÜ Esports,4,Mega Minors,13,Mega Minors,9,17,12
S039,VCT 2026: Americas Stage 1,ENVY vs MIBR,Haven,ENVY,13,MIBR,1,ENVY,12,14,12
S040,VCT 2026: Americas Stage 1,ENVY vs MIBR,Bind,ENVY,13,MIBR,3,ENVY,10,16,12
S041,VCT 2026: Americas Stage 1,100 Thieves vs LOUD,Split,100 Thieves,13,LOUD,4,100 Thieves,9,17,12
S042,VCT 2026: Americas Stage 1,FURIA vs NRG,Lotus,FURIA,4,Mega Minors,13,Mega Minors,9,17,12
S043,VCT 2026: Americas Stage 1,Cloud9 vs ENVY,Pearl,Cloud9,5,ENVY,13,ENVY,8,18,12
S044,VCT 2026: Americas Stage 1,Evil Geniuses vs Sentinels,Haven,Evil Geniuses,7,Sentinels,13,Sentinels,6,20,12
S045,VCT 2026: EMEA Stage 1,Gentle Mates vs FUT Esports,Pearl,Gentle Mates,13,FUT Esports,10,Gentle Mates,3,23,12
S046,VCT 2026: EMEA Stage 1,FUT Esports vs Team Vitality,Ascent,FUT Esports,13,Team Vitality,8,FUT Esports,5,21,12
S047,VCT 2026: EMEA Stage 1,Team Liquid vs Team Heretics,Bind,Team Liquid,13,Team Heretics,8,Team Liquid,5,21,12
S048,VCT 2026: EMEA Stage 1,FNATIC vs Eternal Fire,Breeze,FNATIC,14,Eternal Fire,12,FNATIC,2,26,12
S049,VCT 2026: EMEA Stage 1,Eternal Fire vs Team Vitality,Bind,Eternal Fire,13,Team Vitality,11,Eternal Fire,2,24,12
S050,VCT 2026: EMEA Stage 1,Team Vitality vs Team Heretics,Haven,Team Vitality,13,Team Heretics,15,Team Heretics,2,28,12
S051,VCT 2026: EMEA Stage 1,BBL Esports vs PCIFIC Esports,Breeze,BBL Esports,13,PCIFIC Esports,8,BBL Esports,5,21,12
S052,VCT 2026: EMEA Stage 1,Eternal Fire vs PCIFIC Esports,Lotus,Eternal Fire,13,PCIFIC Esports,11,Eternal Fire,2,24,12
S053,VCT 2026: EMEA Stage 1,PCIFIC Esports vs GIANTX,Pearl,PCIFIC Esports,14,GIANTX,12,PCIFIC Esports,2,26,12
S054,VCT 2026: EMEA Stage 1,FUT Esports vs Eternal Fire,Split,FUT Esports,13,Eternal Fire,11,FUT Esports,2,24,12
S055,VCT 2026: EMEA Stage 1,Team Heretics vs Eternal Fire,Lotus,Team Heretics,11,Eternal Fire,13,Eternal Fire,2,24,12
S056,VCT 2026: EMEA Stage 1,PCIFIC Esports vs FNATIC,Split,PCIFIC Esports,11,FNATIC,13,FNATIC,2,24,12
S057,VCT 2026: EMEA Stage 1,Team Vitality vs Team Heretics,Pearl,Team Vitality,13,Team Heretics,7,Team Vitality,6,20,12
S058,VCT 2026: EMEA Stage 1,GIANTX vs FNATIC,Haven,GIANTX,13,FNATIC,3,GIANTX,10,16,12
S059,VCT 2026: EMEA Stage 1,FNATIC vs Team Vitality,Breeze,FNATIC,4,Team Vitality,13,Team Vitality,9,23,12
S060,VCT 2026: EMEA Stage 1,FNATIC vs Team Heretics,Lotus,FNATIC,2,Team Heretics,13,Team Heretics,11,15,12
S061,VCT 2026: EMEA Stage 1,BBL Esports vs Team Vitality,Breeze,BBL Esports,13,Team Vitality,5,BBL Esports,8,18,12
S062,VCT 2026: EMEA Stage 1,Eternal Fire vs Gentle Mates,Ascent,Eternal Fire,13,Gentle Mates,5,Eternal Fire,8,18,12
S063,VCT 2026: EMEA Stage 1,Eternal Fire vs Team Heretics,Fracture,Eternal Fire,7,Team Heretics,13,Team Heretics,6,20,12
S064,VCT 2026: EMEA Stage 1,Natus Vincere vs Team Liquid,Lotus,Natus Vincere,7,Team Liquid,13,Team Liquid,6,20,12
S065,VCT 2026: Pacific Stage 1,VARREL vs ZETA DIVISION,Bind,VARREL,13,ZETA DIVISION,10,VARREL,3,23,12
S066,VCT 2026: Pacific Stage 1,FULL SENSE vs VARREL,Lotus,FULL SENSE,14,VARREL,12,FULL SENSE,2,26,12
S067,VCT 2026: Pacific Stage 1,FULL SENSE vs DetonatioN FocusMe,Bind,FULL SENSE,13,DetonatioN FocusMe,8,FULL SENSE,5,21,12
S068,VCT 2026: Pacific Stage 1,Nongshim RedForce vs Kiwoom DRX,Fracture,Nongshim RedForce,15,Kiwoom DRX,13,Nongshim RedForce,2,28,12
S069,VCT 2026: Pacific Stage 1,Rex Regum Qeon vs Global Esports,Breeze,Rex Regum Qeon,11,Global Esports,13,Global Esports,2,24,12
S070,VCT 2026: Pacific Stage 1,Nongshim RedForce vs Global Esports,Bind,Nongshim RedForce,13,Global Esports,11,Nongshim RedForce,2,24,12
S071,VCT 2026: Pacific Stage 1,T1 vs Paper Rex,Ascent,T1,13,Paper Rex,10,T1,3,23,12
S072,VCT 2026: Pacific Stage 1,Team Secret vs Kiwoom DRX,Fracture,Team Secret,13,Kiwoom DRX,15,Kiwoom DRX,2,28,12
S073,VCT 2026: Pacific Stage 1,FULL SENSE vs Paper Rex,Pearl,FULL SENSE,10,Paper Rex,13,Paper Rex,3,23,12
S074,VCT 2026: Pacific Stage 1,Team Secret vs Global Esports,Lotus,Team Secret,9,Global Esports,13,Global Esports,4,22,12
S075,VCT 2026: Pacific Stage 1,Rex Regum Qeon vs FULL SENSE,Haven,Rex Regum Qeon,13,FULL SENSE,10,Rex Regum Qeon,3,23,12
S076,VCT 2026: Pacific Stage 1,Global Esports vs FULL SENSE,Breeze,Global Esports,8,FULL SENSE,13,FULL SENSE,5,21,12
S077,VCT 2026: Pacific Stage 1,T1 vs Rex Regum Qeon,Haven,T1,13,Rex Regum Qeon,6,T1,7,19,12
S078,VCT 2026: Pacific Stage 1,Paper Rex vs Kiwoom DRX,Split,Paper Rex,13,Kiwoom DRX,1,Paper Rex,12,14,12
S079,VCT 2026: Pacific Stage 1,Team Secret vs Kiwoom DRX,Pearl,Team Secret,5,Kiwoom DRX,13,Kiwoom DRX,8,18,12
S080,VCT 2026: Pacific Stage 1,Team Secret vs Paper Rex,Breeze,Team Secret,4,Paper Rex,13,Paper Rex,9,17,12
S081,VCT 2026: Pacific Stage 1,Paper Rex vs Global Esports,Lotus,Paper Rex,13,Global Esports,6,Paper Rex,7,19,12
S082,VCT 2026: Pacific Stage 1,Nongshim RedForce vs Global Esports,Breeze,Nongshim RedForce,5,Global Esports,13,Global Esports,8,18,12
S083,VCT 2026: Pacific Stage 1,Rex Regum Qeon vs ZETA DIVISION,Fracture,Rex Regum Qeon,13,ZETA DIVISION,6,Rex Regum Qeon,7,19,12
S084,VCT 2026: Pacific Stage 1,Paper Rex vs Kiwoom DRX,Breeze,Paper Rex,13,Kiwoom DRX,5,Paper Rex,8,18,12
S085,VCT 2026: Americas Kickoff,LOUD vs Evil Geniuses,Abyss,LOUD,12,Evil Geniuses,14,Evil Geniuses,2,26,12
S086,VCT 2026: Americas Kickoff,100 Thieves vs Cloud9,Split,100 Thieves,11,Cloud9,13,Cloud9,2,24,12
S087,VCT 2026: Americas Kickoff,NRG vs MIBR,Breeze,Mega Minors,8,MIBR,13,MIBR,5,21,12
S088,VCT 2026: Americas Kickoff,MIBR vs NRG,Abyss,MIBR,4,Mega Minors,13,Mega Minors,9,17,12
S089,VCT 2026: Americas Kickoff,ENVY vs Evil Geniuses,Corrode,ENVY,5,Evil Geniuses,13,Evil Geniuses,8,23,12
S090,VCT 2026: EMEA Kickoff,Natus Vincere vs FNATIC,Split,Natus Vincere,10,FNATIC,13,FNATIC,3,23,12
S091,VCT 2026: EMEA Kickoff,Team Vitality vs Team Liquid,Corrode,Team Vitality,13,Team Liquid,8,Team Vitality,5,21,12
S092,VCT 2026: EMEA Kickoff,PCIFIC Esports vs ULF Esports,Abyss,PCIFIC Esports,8,ULF Esports,13,ULF Esports,5,21,12
S093,VCT 2026: EMEA Kickoff,Gentle Mates vs BBL Esports,Corrode,Gentle Mates,6,BBL Esports,13,BBL Esports,7,19,12
S094,VCT 2026: EMEA Kickoff,PCIFIC Esports vs ULF Esports,Split,PCIFIC Esports,5,ULF Esports,13,ULF Esports,8,18,12
S095,VCT 2026: Pacific Kickoff,Nongshim RedForce vs Rex Regum Qeon,Bind,Nongshim RedForce,13,Rex Regum Qeon,8,Nongshim RedForce,5,21,12
S096,VCT 2026: Pacific Kickoff,Kiwoom DRX vs Paper Rex,Breeze,Kiwoom DRX,10,Paper Rex,13,Paper Rex,3,23,12
S097,VCT 2026: Pacific Kickoff,Rex Regum Qeon vs T1,Abyss,Rex Regum Qeon,17,T1,19,T1,2,36,12
S098,VCT 2026: Pacific Kickoff,Rex Regum Qeon vs T1,Pearl,Rex Regum Qeon,7,T1,13,T1,6,21,12
S099,VCT 2026: Pacific Kickoff,Team Secret vs ZETA DIVISION,Split,Team Secret,4,ZETA DIVISION,13,ZETA DIVISION,9,17,12
S100,VCT 2026: Americas Stage 1,Sentinels vs KRÜ Esports,Breeze,Sentinels,9,KRÜ Esports,13,KRÜ Esports,4,22,12
