Tournament,Tournament ID,Stage,Stage ID,Match Type,Match Type ID
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Upper Round 1,37954
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Upper Semifinals,37955
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Upper Final,37956
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Grand Final,37957
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Lower Round 1,37958
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Lower Round 2,37959
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Lower Round 3,37960
VCT 2026: Americas Stage 1,2860,Playoffs,5557,Lower Final,37961
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 1,37169
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 2,37170
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 3,37171
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 4,37172
VCT 2026: Americas Stage 1,2860,Group Stage,5556,Week 5,37173
VCT 2026: Americas Stage 1,2860,All Stages,,All Match Types,
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Upper Round 1,37962
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Upper Semifinals,37963
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Upper Final,37964
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Grand Final,37965
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Round 1,37966
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Round 2,37967
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Round 3,37968
VCT 2026: EMEA Stage 1,2863,Playoffs,5560,Lower Final,37969
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 1,37148
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 2,37149
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 3,37150
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 4,37151
VCT 2026: EMEA Stage 1,2863,Group Stage,5561,Week 5,37152
VCT 2026: EMEA Stage 1,2863,All Stages,,All Match Types,
VCT 2026: China Stage 1,2864,Playoffs,5606,Upper Quarterfinals,37930
VCT 2026: China Stage 1,2864,Playoffs,5606,Upper Semifinals,37931
VCT 2026: China Stage 1,2864,Playoffs,5606,Upper Final,37932
VCT 2026: China Stage 1,2864,Playoffs,5606,Grand Final,37933
VCT 2026: China Stage 1,2864,Playoffs,5606,Lower Round 1,37934
VCT 2026: China Stage 1,2864,Playoffs,5606,Lower Round 2,37935
VCT 2026: China Stage 1,2864,Playoffs,5606,Lower Round 3,37936
VCT 2026: China Stage 1,2864,Playoffs,5606,Lower Final,37937
VCT 2026: China Stage 1,2864,Group Stage,5605,Week 1,37087
VCT 2026: China Stage 1,2864,Group Stage,5605,Week 2,37088
VCT 2026: China Stage 1,2864,Group Stage,5605,Week 3,37089
VCT 2026: China Stage 1,2864,Group Stage,5605,Seeding,37090
VCT 2026: China Stage 1,2864,All Stages,,All Match Types,
Valorant Masters Santiago 2026,2760,Playoffs,5546,Upper Quarterfinals,36516
Valorant Masters Santiago 2026,2760,Playoffs,5546,Upper Semifinals,36517
Valorant Masters Santiago 2026,2760,Playoffs,5546,Upper Final,36518
Valorant Masters Santiago 2026,2760,Playoffs,5546,Grand Final,36519
Valorant Masters Santiago 2026,2760,Playoffs,5546,Lower Round 1,36520
Valorant Masters Santiago 2026,2760,Playoffs,5546,Lower Round 2,36521
Valorant Masters Santiago 2026,2760,Playoffs,5546,Lower Round 3,36522
Valorant Masters Santiago 2026,2760,Playoffs,5546,Lower Final,36523
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 1,36486
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 2 (1-0),36513
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 2 (0-1),36514
Valorant Masters Santiago 2026,2760,Swiss Stage,5359,Round 3,36515
Valorant Masters Santiago 2026,2760,All Stages,,All Match Types,
VCT 2026: Pacific Stage 1,2775,Playoffs,5375,Upper Round 1,38192
VCT 2026: Pacific Stage 1,2775,Playoffs,5375,Upper Semifinals,38193
VCT 2026: Pacific Stage 1,2775,Playoffs,5375,Upper Final,38194
VCT 2026: Pacific Stage 1,2775,Playoffs,5375,Grand Final,38195
VCT 2026: Pacific Stage 1,2775,Playoffs,5375,Lower Round 1,38196
VCT 2026: Pacific Stage 1,2775,Playoffs,5375,Lower Round 2,38197
VCT 2026: Pacific Stage 1,2775,Playoffs,5375,Lower Round 3,38198
VCT 2026: Pacific Stage 1,2775,Playoffs,5375,Lower Final,38199
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 1,37143
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 2,37144
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 3,37145
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 4,37146
VCT 2026: Pacific Stage 1,2775,Group Stage,5374,Week 5,37147
VCT 2026: Pacific Stage 1,2775,All Stages,,All Match Types,
VCT 2026: Americas Kickoff,2682,Main Event,5221,Upper Round 1,35493
VCT 2026: Americas Kickoff,2682,Main Event,5221,Upper Round 2,35494
VCT 2026: Americas Kickoff,2682,Main Event,5221,Upper Round 3,35495
VCT 2026: Americas Kickoff,2682,Main Event,5221,Upper Final,35496
VCT 2026: Americas Kickoff,2682,Main Event,5221,Middle Round 1,35497
VCT 2026: Americas Kickoff,2682,Main Event,5221,Middle Round 2,35498
VCT 2026: Americas Kickoff,2682,Main Event,5221,Middle Round 3,35499
VCT 2026: Americas Kickoff,2682,Main Event,5221,Middle Round 4,35500
VCT 2026: Americas Kickoff,2682,Main Event,5221,Middle Final,35501
VCT 2026: Americas Kickoff,2682,Main Event,5221,Lower Round 1,35502
VCT 2026: Americas Kickoff,2682,Main Event,5221,Lower Round 2,35503
VCT 2026: Americas Kickoff,2682,Main Event,5221,Lower Round 3,35504
VCT 2026: Americas Kickoff,2682,Main Event,5221,Lower Round 4,35505
VCT 2026: Americas Kickoff,2682,Main Event,5221,Lower Round 5,35506
VCT 2026: Americas Kickoff,2682,Main Event,5221,Lower Final,35507
VCT 2026: Americas Kickoff,2682,All Stages,,All Match Types,
VCT 2026: EMEA Kickoff,2684,Main Event,5223,Upper Round 1,35441
VCT 2026: EMEA Kickoff,2684,Main Event,5223,Upper Round 2,35442
VCT 2026: EMEA Kickoff,2684,Main Event,5223,Upper Round 3,35443
VCT 2026: EMEA Kickoff,2684,Main Event,5223,Upper Final,35444
VCT 2026: EMEA Kickoff,2684,Main Event,5223,Middle Round 1,35445
VCT 2026: EMEA Kickoff,2684,Main Event,5223,Middle Round 2,35446
VCT 2026: EMEA Kickoff,2684,Main Event,5223,Middle Round 3,35447
VCT 2026: EMEA Kickoff,2684,Main Event,5223,Middle Round 4,35448
VCT 2026: EMEA Kickoff,2684,Main Event,5223,Middle Final,35449
VCT 2026: EMEA Kickoff,2684,Main Event,5223,Lower Round 1,35450
VCT 2026: EMEA Kickoff,2684,Main Event,5223,Lower Round 2,35451
VCT 2026: EMEA Kickoff,2684,Main Event,5223,Lower Round 3,35452
VCT 2026: EMEA Kickoff,2684,Main Event,5223,Lower Round 4,35453
VCT 2026: EMEA Kickoff,2684,Main Event,5223,Lower Round 5,35454
VCT 2026: EMEA Kickoff,2684,Main Event,5223,Lower Final,35455
VCT 2026: EMEA Kickoff,2684,All Stages,,All Match Types,
VCT 2026: Pacific Kickoff,2683,Main Event,5222,Upper Round 1,35465
VCT 2026: Pacific Kickoff,2683,Main Event,5222,Upper Round 2,35466
VCT 2026: Pacific Kickoff,2683,Main Event,5222,Upper Round 3,35467
VCT 2026: Pacific Kickoff,2683,Main Event,5222,Upper Final,35468
VCT 2026: Pacific Kickoff,2683,Main Event,5222,Middle Round 1,35469
VCT 2026: Pacific Kickoff,2683,Main Event,5222,Middle Round 2,35470
VCT 2026: Pacific Kickoff,2683,Main Event,5222,Middle Round 3,35471
VCT 2026: Pacific Kickoff,2683,Main Event,5222,Middle Round 4,35472
VCT 2026: Pacific Kickoff,2683,Main Event,5222,Middle Final,35473
VCT 2026: Pacific Kickoff,2683,Main Event,5222,Lower Round 1,35474
VCT 2026: Pacific Kickoff,2683,Main Event,5222,Lower Round 2,35475
VCT 2026: Pacific Kickoff,2683,Main Event,5222,Lower Round 3,35476
VCT 2026: Pacific Kickoff,2683,Main Event,5222,Lower Round 4,35477
VCT 2026: Pacific Kickoff,2683,Main Event,5222,Lower Round 5,35478
VCT 2026: Pacific Kickoff,2683,Main Event,5222,Lower Final,35479
VCT 2026: Pacific Kickoff,2683,All Stages,,All Match Types,
VCT 2026: China Kickoff,2685,Main Event,5224,Upper Round 1,35562
VCT 2026: China Kickoff,2685,Main Event,5224,Upper Round 2,35563
VCT 2026: China Kickoff,2685,Main Event,5224,Upper Round 3,35564
VCT 2026: China Kickoff,2685,Main Event,5224,Upper Final,35565
VCT 2026: China Kickoff,2685,Main Event,5224,Middle Round 1,35566
VCT 2026: China Kickoff,2685,Main Event,5224,Middle Round 2,35567
VCT 2026: China Kickoff,2685,Main Event,5224,Middle Round 3,35568
VCT 2026: China Kickoff,2685,Main Event,5224,Middle Round 4,35569
VCT 2026: China Kickoff,2685,Main Event,5224,Middle Final,35570
VCT 2026: China Kickoff,2685,Main Event,5224,Lower Round 1,35571
VCT 2026: China Kickoff,2685,Main Event,5224,Lower Round 2,35572
VCT 2026: China Kickoff,2685,Main Event,5224,Lower Round 3,35573
VCT 2026: China Kickoff,2685,Main Event,5224,Lower Round 4,35574
VCT 2026: China Kickoff,2685,Main Event,5224,Lower Round 5,35575
VCT 2026: China Kickoff,2685,Main Event,5224,Lower Final,35576
VCT 2026: China Kickoff,2685,All Stages,,All Match Types,
